,Commit Message,HOW,Quality attributes changes,Code smells,Other,WHY,WHERE,WHAT,After fixing a bug,Before releasing the code,During code review ,After introducing major functional changes,WHEN,WHO,Severity/Importance of the fixed problem,Benefits from the introduced changes ,,,,Nbr components,
208,move HQLCompletionHandler to plugin org.hibernate.eclipse.console,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
209,Update AbstractManagerFactoryBuilder to inject SERIAL consistency level,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
210,Performance improvements,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
211,"simplify, use only direct load + ping, possible support for mget later",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
212,Worked on icon management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
213,Bug 87379 - Ant versions backwards compatibility,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,,,,3,
214,bug 367081 - [server] Allow to create diffs for selected files only https://bugs.eclipse.org/bugs/show_bug.cgi?id=367081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
215,Heavily refactored modules around. Added `RandomEventGenerator`. Added CSS for `EventLogServlet`.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
216,rename splitAttachments command to separateAttachments for more clarity,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,4,
217,CRASH-91 : Streaming support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
218,MAPREDUCE-3798. Fixed failing TestJobCleanup.testCusomCleanup() and moved it to the maven build. Contributed by Ravi Prakash. svn merge --ignore-ancestry -c 1191606 ../../trunk,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,,,,6,
219,Make handle type changeable more easily.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
220,CAMEL-5177: getEndpointUri returns the exact uri the endpoint was given. Avoid reparsing as well. Polished EndpointConfiguration to avoid using PropertyEditorTypeConverter directly.,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
221,JUnit test must not use GUI output. Renamed them to visualTestX() so that JUnit 3 won't run them.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
222,"Major code cleanup. Add parameter validation, among other fixes. /unbanip added",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,2,
223,Move basic resource-related functions of ComplexEnvironment under Environment,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
224,JDK8 refactoring,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
225,add Pac4jPrincipal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
226,Renamed gwt unit tests and introduced a test suite for faster test execution.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
227,"Creating Neptune models, producers, converters and assemblers of new objects  in progress refs #145",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
228,"Update classes with lazy global values to ensure methods don't get stripped in aggressive tree shaking mode (#777, #778).",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
229,Fixes: #361019 HLU changes correctly propagate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
230,Commit mg4j jar  removal.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
231,Finished start-form rendering based on form-properties in vaadin UI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
232,WyC: working on getting FlowTypeChecker to distinguish current from declared types.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
233,Modified the unit tests for verifying the JUnit method name result seeker so that it can find the test result Junit files from a directory one or more levels up from where the files are located. Updated the sample test result file so that the package name + method name are unique.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
234,"MODE-733 Fixed a number of issues that were identified by the query-related JCR TCK unit tests, which are all passing at this point except for: - those tests that expect the '/jcr:system' node to be found by search/query (see MODE-760); - those tests using the 'text()' JCR-SQL function in criteria (not supported at this time; see MODE-759); and - those (few) tests that produce invalid join criteria in their test queries (e.g., 'SELECT * FROM nt:base, test:queryable WHERE test:queryable.jcr:path = mix:referenceable.jcr:path' in SQLJoinTest.testJoinNtBase)",1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,,,,7,
235,refactor ExceptionHandler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
236,Migrating from Ant to Maven to build the project,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,1,
237,Commit before deleting unused classes,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,4,
238,Weka Segmentation: the whole image data is now created in a multi-thread way.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,2,
239,DATADOC-118 removed methods that take a MongoWriter,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
240,Added several unit tests for the maths module. Upgraded Cobertura to fix concurrency bug.,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,5,
241,"Does sizeAppropriately, scaling the ImageCanvas and including space for sliders.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
242,ADD: added functions for state and edge coverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
243,more refactoring for ACLs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
244,[353451] The XML formatter aborts formatting for construct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
245,fixed a display problem with the tiles is the static asset browsing dialog,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,,,,5,
246,Moved all symbol table classes to joshua.corpus.vocab package.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
247,refactor classes and packages ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
248,CAMEL-10807: Create camel-reactor component,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
249,fix #871 automatically add needed imports in Move To New Unit,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
250,Issue #5405: make OrientGraphNoTx.addEdge() reliable &  support new txRequiredForSQLGraphOperations to decide when SQL operations against graph require a transaction,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
251,populator simplified,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
252,"[ENG-115] Allowed the infinite"" property set to make certain types of conversion function possible",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,
253,Added bean.* in template variables More efficient bean configuration in the ProbeDesc better tests for some beans Bad bean name for RRDToolProbe,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
254,"[FIXED JENKINS-11013] Matrix project support for Parameters from properties file"".""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
255,added more flexibility for socket bind,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
256,Refactor permission nodes. LOOK AT PLUGIN.YML FOR CHANGES.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,
257,Suppress other errors when syntax errors are detected,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,,,,4,
258,CheckIn: Fix bugzilla bug 116731. The Member value list is wrong in target level filter[1101],0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
259,Misc improvements to Pangool flow,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,2,
260,XWIKI-110 api bugs fixes for diff improvements. Merge from branch.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
261,[ANA-76] Testing SV decomposition more thoroughly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
262,Refactor ZoneOffsetTransition to remove use of OffsetDateTime,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,3,
263,Added flow renderer for any object.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
264,Fixed metamodel issues:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
265,throw unproxyabledependencyexception at startup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
266,moved core to correct dir,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
267,standardize authorization url generation for OAuth1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
268,Complete implementation of Kraken's API for retrieving Orders for an account.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
269,Deleted a lot of older code that no longer seems useful and is just becoming confusing.  Refactored VaR code to use the SecurityKey interface in Engine.  Also renamed yc sub-package to ircurve.,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,,,,5,
270,- renaming non-junit application as Tapp (test app). Rrecent maven versions  had trouble with the old names.,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,,,,6,
271,"Remove unneeded lines, extract method to elimiate duplication.",0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,,,,4,
272,Updated to support the CacheEntryExpiryPolicy and new listener events,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,5,
273,Added per-org/product pool refreshing and by-product owner lookups,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
274,WSC extracted into own module,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
275,SONAR-1657 Expose changed files API in ModuleFileSystem,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
276,Changed getActionSequence() to getSequence(),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,2,
277,Renaming the gwt package to widgetset made the Sample Application working.,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
278,CAMEL-5838: Renamed the unit-test class.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
279,HIVE-9418p1 : ORC using low-level cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
280,Some refactoring - now have a single method to handle all predicates.,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,4,
281,Fix for 113150: Macro expansion hover only displays _very_ briefly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
282,"TEIID-1575, TEIID-1574 : fixing the typo in setColumName, and adding the support for BINARY, TIMESTAMP, DECIMAL types",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
283,incremental renaming from extension to plugin: a few more classes,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,,,,3,
284,Renamed simple to java and webtest to celerity,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
285,added utilities for copy/move a row,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,4,
286,Added support for DELETE and thereby also simplified UPDATE statements on ElasticSearch. Fixes METAMODEL-79.,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,,,,6,
287,Java reorg: moved repo tests into new structure. Refs #480,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
288,ADD GPTrustedLevel concept denote the execution permissions for a use case REF GPRole have exactly a trusted level associated REF GeoPlatformSecureAction have a permission based on a trusted level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
289,migrate more stuff to wala.util,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
290,ISIS-1603: value choices and reference panel now working adequately with inline prompt.,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,3,
291,Use one footer parameter for changelog and contributors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
292,HSEARCH-397 SearchFactoryBuilder contract for mutable SearchFactories,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,4,
293,Fix for Bug 90170 [Dialogs] CamelCase search on OpenResource/OpenType,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,,,,4,
294,merged work by our University of Alabama (Tuscaloosa) MIS project team in preparation for their final presentation tommorrow; ROLL TIDE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,
295,1GEYCPM: ITPJUI:WINNT - I can't give an empty value to JRE_SRC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
296,[MODEL] Refactor identifier interfaces,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
297,HV-798 New implementation of message descriptor parsing. Abandoning regular expressions for a custom parser.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
298,cleaned up and consolidated event handlers,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
299,Fixed status bar issue showing last title instead of first title of the task monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
300,"The database URL with JDBC driver is not more used to set up a connection. Instead, it uses the JNDI name of a data source. Refine the way a connection information is set and fixes some JSPs",1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,,,,7,
301,WyJC: Updated Mechanism for Runtime Type Testing.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
302,fix issues https://issues.apache.org/jira/browse/AMQ-6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
303,major: pillarNode enabled storage; Path is now edgeId based; introduced PointList;,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
304,Correcting 9595175f1001e10e4468f6e51f185a5d1b614140 (JUnit 4 merge fixup for #1471).,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
305,SONAR-6119 Indexing of activity logs consumes too much memory during server startup,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,3,
306,Simplified test class loader name.,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,4,
307,removed some methods from MasterDegreeCandidate DAO,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
308,461643 - HttpContent.advance() race.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
309,"Changed method name to contain Subset"" and not ""SubSet""",0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,,,,4,
310,Bug 47185 - Open External File does not work on build.xml Bug 56199 - AntEditor move to file buffer document provider,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,,,,7,
311,bug 4186: Making extractIsoCmd and extractTemplateCmd async,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
312,Reuse of code,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
313,Second test case for bug 157818.,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
314,"Federation - Implementing the persistence support for reading"" federated nodes. Also",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
315,https://issues.apache.org/activemq/browse/AMQ-1718 - MessageServlet refactoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
316,BPMSPL-119 - Add taskService.addContent() for Remote API,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
317,changed isLocalDatabase() and isSafeToRunMigration() methods to a more standard isSafeToRunUpdate,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,5,
318,"Refactored TestClassRunnerTest, created MethodCallSpy",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
319,CLOUDSTACK-1593: fix migrate volume between pools through secondary storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
320,Ensure HEAD on external binary content responds with redirect (#1091),0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
321,Enable handling of TimeInstants and TimePeriods without gml-ids,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,3,
322,http.io package refactoring,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
323,Overrided setSocialSecurityNumber. Now it checks if exists any Party with the same social security number,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,,,,5,
324,Renamed CollectionAttribute to AttributeType as it represents the type of things that can be collected rather than the actual value of the item for a given resource. Added a call to the collector to delegate storing retrieved values to the AttributeType so it can add an attribute to the resource.  Still more to do here.,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,,,,7,
325,Merge r1501605 from trunk to branch-1 for YARN-369. Handle ( or throw a proper error when receiving) status updates from application masters that have not registered (Mayank Bansal & Abhishek Kapoor via bikas),0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
326,Upgraded to Spring 4.0.6 and refactored Mule module because that doesn't work with Spring 4.x,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,,,,4,
327,Added entry phase selection on candidates password generation. Fixed bug on execution course distribution mails,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,3,
328,HBASE-14161 Enhance Chaos Monkey framework by adding zookeeper and datanode fault injections.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
329,337685 Update websocket API in preparation for draft -07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
330,refactored into 1 separate implementations backed by Prefrences and PreferencesLookupDeletegate,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,3,
331,"New queue implementation:        max-size, ttl support",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
332,PLANNER-313 Fix randomly failing test on JDK 7 (but not JDK 6) due to commit early today by sorting member names alphabetically to have an order,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,,,,4,
333,SONAR-4898 remove duplicated classes and usage of SONAR_HOME,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,,,,4,
334,Refactored ResourceLocator as separate bundle,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
335,Initial commit for Sku indexing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
336,Project capability work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
337,Convert DateProvider factory to Calendrical,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,4,
338,Bug 461009 - [Gtk3] Button background Color fix (Patch 1),0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,,,,2,
339,BZ-1084044 - Properties file can't be load in LDAPUserGroupCallbackImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,
340,Created interface to move curriculum lines without rules - created permission - corrected external degree enrolments to instantiate a new IDegreeModuleToEvaluate,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
341,Added support for binding on KeyUpEvents.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
342,Tool settings save: fix,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,,,,3,
343,[OPTI] Minor optimization in the Permissions Managment. See #196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,
344,More inference work: motion model restricted to graph + trace simulation + integration testing.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,,,2,
345,refine WebDriverElementFinder API with removal of dependence to ElementFinder.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
346,Remove the toolbar of the ToolBox and add the right click on the tree.,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,3,
347,Fixing bpmn1 tests. (cherry picked from commit 6ff8b111a0acefb585f5156cd5458eb74f81151e),0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,2,
348,prepping build to seperate out ecldirect into its own project java-ecl-api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
349,Added documentation and proper error routing and improved encapsulation,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,4,
350,correcting javadoc and an old unit test to reflect current behavior,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,3,
351,cleaned up execution and output to allow breaking up folders and specifying multiple output types,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,3,
352,Package rename,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
353,[NGRINDER-701] Make monitoring service clean,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,2,
354,[PLAT-1011] Refactoring to get live results into batch db,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,,,3,
355,org.urbsat refactoring,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,
356,ref(rtcp): Makes the CNAMERegistry an inner class.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
357,SONAR-7431 Functional exception when snapshot not found in WS api/qualitygates/project_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
358,* TI refactoring and improvements * applied patch from bug 177533,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,,,,5,
359,Move off confusing test names.,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,6,
360,Rename packages,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,1,
361,minor refactoring + updated README,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,
362,reuse staxon.jaxb package,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,4,
363,factored out old OTR implementation and added notes for a new one,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
364,CLEREZZA-411: commit by rename utility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
365,matching dynalink documentation,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,,2,
366,Add execution flag to allow cycles to be skipped when no market data; renaming various Sentinel classes,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
367,"keystone users, roles, services, endpoints fluent api",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
368,"Broke Notifications out of game library, added more data to common lib, and update builds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
369,Extended API to get all informations about a device catgory provided within UAS database,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,5,
370,Finished the major rehaul of my crawling framework.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
371,"[CXF-5311] Fixing compact serialization if OOB ceks are used, refactoring abstract JWE helpers, adding empty encryption and signature properties which can be used to enforce that only specific encryption/sign algo props were used",1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,,,,6,
372,SONAR-9755 rename HealthCheck to NodeHealthCheck,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,2,
373,Extract three quite unrelated methods to interface OverviewHistoryDao.,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,4,
374,allow multiple input elements,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,2,
375,Addition of TPCH Q3 with new datamodel interfaces and smaller refinements on utility classes.,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,3,
376,Adjust mail recipients for cancelation of applications for leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
377,NetCDF: Slice1DIndex backwards compatible,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,2,
378,CAMEL-900 added a SOAPMessage to String convertor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
379,"Changes to eliminate the requirement for database downgrades.  Tests dependent on downgrades have been changed; existing Upgrades have not been changed, but the downgrade() methods have been marked deprecated.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
380,handle the export parameters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
381,Adds contextOverrides to ToolPageContext#localize for custom arguments and improves ObjectType/ObjectField special key handling.,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,4,
382,Refactored some duplicated util classes into org.opennms.core.utils.,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,,,3,
383,"ACCUMULO-3619 Use ClientConf from job, not default.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
384,Access Control: create account via GUI (#161).,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,,,,5,
385,o Java 1.5 upgrade. Generified some stuff,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,,2,
386,"Moving some of the data sharding around. A new shard catagory now exits, INTERVAL.  This saved a lot of code that was mirroring the same approach in both the read and locus shard strategies.  ",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,,2,
387,fix(CI): temporary disabling testcase,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,,,,4,
388,DATAGRAPH-651 - Correct use of query and execute from @Query methods.,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,,,,3,
389,Rename getLatestVersionAfterInterest -> latestVersionAfterInterest.,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,,,,4,
390,Add retry support.,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,1,
391,o Moved the toolchains into the core to allow proper testing of the core,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,,,,3,
392,fix for tag attribute issue + part implementation of ##'d values between tags.,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,,,,2,
393,Changed ContentType parameter from ContentType.class to String.class,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,,,,4,
394,4717 - DCR: FileDialog to use overwrite prompt (1GFDH0D) - change API name to set/getOverwrite,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,,,,3,
395,move extension stuff to sub folder,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,,,,3,
396,Fix for the new onInitialize code. MarkupContainer initialize() was creating loops in loops in loops because the entry point (initialize method) also created a visitior and calls then the entry point (initialize) again on those children (including children of the children). This does go wrong (or slow) in an exponential way.,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,,,,6,
397,"Prepare ZFrame for adding put, get methods per type",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,,,,2,
398,"349063: [CA] any CA for properties and methods in some cases in ZF, the order of methods call is important ( e.g. Zend_Dojo_Form_Element_DateTextBox and CA methods declared in Zend_Dojo_Form_Element_DateTextBox class ) https://bugs.eclipse.org/bugs/show_bug.cgi?id=349063",0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,,,,2,
399,Fixes FCREPO-675 (Implement getDatastreamHistory on REST API),0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,,1,
400,Straightened out confusing use of ObjectIndex when options were actually being set on ObjectField - bug fix.,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,,,,3,
401,"MIFOS-5663 add new permission to import loans and savings, work on acceptance test",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,,2,
402,"Add PDF citation information as a table, other formatting improvements",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,,2,
403,moving rules to own file,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,1,
404,more async tests,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,,1,
405,SONARJAVA-1830 Exclude RSPEC-1970 scope from RSPEC-1699. (#1004),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,1,
406,Introduce new builder API for configuring database cluster. Convert xml parsing from JAXB to StAX.,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,,,,5,
407,"rename (pagebase -> pagebased) package, class, and folder.",0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,,,,3,
408,Can run tests on one machine against simulator on another,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,,,,4,
409,Forgot to rename file in hg.,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,,,,4,
410,major improvements in functionality:  - ability to serialize anything implementing Writable - ability to handle special symbols,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,,,,4,
411,SPI is live for Operations and Commands. some unit test fixes.,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,,2,
412,SONARJAVA-1183 Add hardcoded method behaviors (#1469),0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,,,,3,
413,SONARJAVA-1535 Avoid type substitution in wildcards with fall back on erasure,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,2,
414,adding id-refs for meta attributes,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,,,,5,
